gene_symbol,translatedmRNA.apvEff,translatedmRNA.apvRvmPAdj,totalmRNA.apvEff,totalmRNA.apvRvmPAdj,translation.apvEff,translation.apvRvmPAdj,buffering.apvEff,buffering.apvRvmPAdj,singleRegMode
DPM1,-0.094646114,0.777983073,0.398109436,0.342246805,-0.2532742,0.317181998,0.553794205,0.071146569,background
SCYL3,0.041058803,0.899823695,0.21478033,0.50767947,-0.006546834,0.985039975,0.189932408,0.536943014,background
C1orf112,1.264427278,0.018295321,1.189242742,0.112650958,0.790571926,0.065089272,-0.599460045,0.321554715,abundance
CFH,-1.722514069,0.012628859,-0.754661738,0.205423223,-1.088302286,0.011715295,1.03109347,0.009395934,translation
FUCA2,0.780653592,0.046977517,0.95717528,0.013537751,0.023752046,0.954135042,0.265208163,0.329798204,abundance
GCLC,-0.144350589,0.802063319,0.261203249,0.599451845,-0.384861798,0.158892965,0.402905642,0.097008543,background
NFYA,0.264554642,0.535832303,1.005732594,0.009298035,-0.225529987,0.668929436,0.909135839,0.014421366,buffering
LAS1L,0.134355881,0.696054333,0.063343475,0.811598427,0.074711466,0.821868639,0.002187758,0.993270206,background
ENPP4,-0.250221843,0.765318812,1.418766606,0.007561946,-1.372577241,0.122709569,1.492987436,0.005733182,buffering
ANKIB1,0.10084755,0.839103898,0.882027558,0.008142782,-0.222069098,0.77276816,0.869135179,0.009988873,buffering
CYP51A1,0.774539248,0.112278426,0.234401382,0.561578055,0.550681744,0.109522599,-0.347484236,0.225925264,translation
KRIT1,-0.314794362,0.270142594,0.579151318,0.114978473,-0.311074878,0.30182719,0.570844554,0.138377742,buffering
RAD52,0.311137495,0.4689306,0.261075314,0.459419299,0.435222852,0.301355031,0.381841355,0.247860348,background
BAD,0.746716135,0.111959533,-0.314273126,0.366430309,0.984370067,0.043254913,-0.657376319,0.059820314,translation
LAP3,-1.102575303,0.01650518,-0.228042208,0.525898308,-0.901103557,0.016541844,0.639649851,0.047953181,translation
MAD1L1,0.148123613,0.696771433,-0.382139953,0.460611839,0.332157558,0.171199031,-0.65181709,0.023543915,background
LASP1,0.490411606,0.12314839,0.195825614,0.549463579,0.377090374,0.164571489,-0.274964975,0.30357677,translation
TMEM176A,-0.959284694,0.111691452,-0.867637354,0.076023826,-0.039185886,0.923636275,-0.081435702,0.778791323,abundance
M6PR,0.482328104,0.140515984,0.453782377,0.11635437,0.262815495,0.436122548,0.227673881,0.413797619,abundance
ALS2,-0.328244456,0.417974197,0.22953574,0.445468174,-0.525533453,0.150762952,0.387075901,0.142502737,translation
CASP10,-0.246859302,0.529778689,-0.164687147,0.675760733,-0.14536912,0.670414672,0.042795275,0.902854648,background
CFLAR,-0.504455739,0.098969945,-0.668955437,0.020390526,-0.305585027,0.366621077,-0.527323797,0.072099494,abundance
TFPI,-1.793195297,0.026217645,-1.053779007,0.155858214,-0.918108493,0.032145589,0.829474649,0.038169328,translation
RBM5,-0.125958034,0.710945883,-0.181724792,0.646229499,-0.04389426,0.892646758,-0.026679327,0.939964743,background
SLC7A2,-2.760292332,0.000721377,-2.155577911,0.003700582,-0.955030371,0.011715295,0.966647903,0.007616649,translation
