gene_symbol,n_samples,n_events,n_samples_tumor,n_samples_normal,n_as_gene1,n_as_gene2,n_high_confidence,n_medium_confidence,n_low_confidence,n_inframe,n_outofframe,n_frame_unknown,n_intergenic_flank,sites_observed,types_observed,max_split_reads_total,max_discordant_mates,median_coverage,samples,recurrence_tier,translatedmRNA.apvEff,translatedmRNA.apvRvmPAdj,totalmRNA.apvEff,totalmRNA.apvRvmPAdj,translation.apvEff,translation.apvRvmPAdj,buffering.apvEff,buffering.apvRvmPAdj,singleRegMode
AP1B1,7,13,7,0,2,11,0,0,13,0,0,13,0,"exon,intron","deletion,deletion/read-through/5'-5',translocation,translocation/5'-5'",1,0,0,"SRR6939927.arriba,SRR6939939.arriba,SRR6939943.arriba,SRR6939951.arriba,SRR6939956.arriba,SRR6939960.arriba,SRR6939964.arriba",tumor_exclusive,-0.076515379,0.803410793,-0.242061597,0.453963623,0.039747482,0.889545063,-0.13006849,0.591649711,background
EIF2AK4,6,10,6,0,5,5,0,0,10,0,0,10,0,intron,"deletion/read-through,deletion/read-through/5'-5',translocation,translocation/5'-5'",1,0,0,"SRR6939927.arriba,SRR6939931.arriba,SRR6939935.arriba,SRR6939943.arriba,SRR6939947.arriba,SRR6939956.arriba",tumor_exclusive,-0.838970868,0.076879325,0.066810809,0.791567716,-0.87674137,0.087329509,0.119425206,0.619032682,translation
ATP2C1,6,9,6,0,7,2,0,0,9,0,0,9,0,"CDS,intron","deletion/read-through,translocation,translocation/3'-3'",0,0,1,"SRR6939927.arriba,SRR6939931.arriba,SRR6939939.arriba,SRR6939943.arriba,SRR6939951.arriba,SRR6939964.arriba",tumor_exclusive,0.359766798,0.283156064,0.892665796,0.003728796,-0.03535736,0.947596741,0.819193365,0.007721805,buffering
NOTCH2,5,15,5,0,12,3,0,0,15,0,0,15,4,"intergenic,intron","deletion/read-through,translocation,translocation/3'-3'",0,0,0,"SRR6939927.arriba,SRR6939935.arriba,SRR6939939.arriba,SRR6939956.arriba,SRR6939964.arriba",tumor_exclusive,-0.375226418,0.407203611,-0.49495771,0.075275113,0.261224925,0.538567221,-0.359118585,0.135191184,background
BNIP1,5,8,5,0,3,5,0,0,8,0,0,8,5,"intergenic,intron","deletion/read-through,translocation,translocation/3'-3'",1,0,0,"SRR6939927.arriba,SRR6939943.arriba,SRR6939951.arriba,SRR6939960.arriba,SRR6939964.arriba",tumor_exclusive,0.041433002,0.930368467,0.546228394,0.287183254,-0.199091631,0.607198253,0.504526063,0.220569011,background
CD37,5,8,5,0,2,6,0,0,8,0,0,8,0,"CDS,exon,intron","deletion/read-through,deletion/read-through/3'-3',deletion/read-through/5'-5'",0,0,0,"SRR6939927.arriba,SRR6939935.arriba,SRR6939947.arriba,SRR6939951.arriba,SRR6939956.arriba",tumor_exclusive,-0.253584561,0.830317791,-1.18609385,0.048685128,0.947143586,0.38672029,-1.099720746,0.03844839,buffering
RECK,5,8,5,0,6,2,0,0,8,0,0,8,0,intron,"deletion/read-through,translocation,translocation/3'-3'",0,0,0,"SRR6939943.arriba,SRR6939947.arriba,SRR6939951.arriba,SRR6939956.arriba,SRR6939964.arriba",tumor_exclusive,-0.553372149,0.508295658,-0.18950537,0.758446299,-0.332499509,0.44799109,0.197518204,0.531972996,background
GLUL,5,7,5,0,6,1,0,0,7,0,0,7,1,"3'UTR,5'UTR,CDS,intergenic","deletion/read-through,translocation/5'-5'",0,0,551,"SRR6939927.arriba,SRR6939931.arriba,SRR6939947.arriba,SRR6939956.arriba,SRR6939960.arriba",tumor_exclusive,0.815814581,0.291401938,1.195350389,0.07492765,-0.412388586,0.180114808,0.448575922,0.083162378,background
NEU3,5,7,5,0,7,0,0,0,7,0,0,7,4,"5'UTR,intergenic,intron","deletion/read-through,deletion/read-through/5'-5'",3,0,0,"SRR6939927.arriba,SRR6939939.arriba,SRR6939943.arriba,SRR6939947.arriba,SRR6939956.arriba",tumor_exclusive,-0.579764057,0.345479231,-0.153044367,0.58705477,-0.394380118,0.535448477,-0.061942814,0.830977573,background
PHLDB2,5,7,5,0,5,2,0,0,7,0,0,7,0,"3'UTR,5'UTR,intron","deletion/read-through,translocation,translocation/3'-3'",0,0,0,"SRR6939931.arriba,SRR6939939.arriba,SRR6939943.arriba,SRR6939956.arriba,SRR6939960.arriba",tumor_exclusive,-1.345096785,0.006032271,-0.898103521,0.022174922,-0.646457798,0.092714221,0.067899308,0.853578976,translation
GLS,5,6,5,0,4,2,0,0,6,0,0,6,0,"3'UTR,intron","deletion/read-through/3'-3',deletion/read-through/5'-5'",1,0,0.5,"SRR6939927.arriba,SRR6939931.arriba,SRR6939943.arriba,SRR6939947.arriba,SRR6939956.arriba",tumor_exclusive,0.257700205,0.690749399,0.464219483,0.394655516,-0.130665433,0.779902046,0.247782346,0.474688416,background
HSPA9,5,6,5,0,4,2,0,0,6,0,0,6,4,"exon,intergenic,intron","deletion/read-through,deletion/read-through/3'-3'",1,0,0.5,"SRR6939931.arriba,SRR6939943.arriba,SRR6939951.arriba,SRR6939956.arriba,SRR6939960.arriba",tumor_exclusive,-0.043336134,0.927282202,0.620256361,0.135766168,-0.535022776,0.066406488,0.666549406,0.016217303,background
SCYL3,5,6,5,0,2,4,0,0,6,0,0,6,2,"intergenic,intron","deletion/read-through,translocation",0,0,0,"SRR6939935.arriba,SRR6939939.arriba,SRR6939943.arriba,SRR6939956.arriba,SRR6939964.arriba",tumor_exclusive,0.041058803,0.899823695,0.21478033,0.50767947,-0.006546834,0.985039975,0.189932408,0.536943014,background
LIMCH1,5,5,5,0,3,2,0,0,5,0,0,5,0,intron,"deletion/read-through,deletion/read-through/3'-3',translocation,translocation/5'-5'",0,0,1,"SRR6939931.arriba,SRR6939935.arriba,SRR6939947.arriba,SRR6939956.arriba,SRR6939960.arriba",tumor_exclusive,-0.944335522,0.210731252,-1.59265931,0.002031797,1.04213113,0.295670873,-1.255172195,0.0056529630000000004,abundance
TP53INP2,4,12,4,0,4,8,0,0,12,0,0,12,0,"3'UTR,CDS,intron","deletion/read-through,translocation,translocation/3'-3'",0,0,1,"SRR6939927.arriba,SRR6939943.arriba,SRR6939951.arriba,SRR6939956.arriba",tumor_exclusive,-0.920455743,0.083154927,-1.46980201,0.004718224,-0.188451979,0.812205614,-1.089269187,0.024531577,abundance
DNAJC15,4,11,4,0,4,7,0,0,11,0,0,11,5,"intergenic,intron","deletion/read-through,deletion/read-through/5'-5',translocation,translocation/3'-3'",0,0,1,"SRR6939927.arriba,SRR6939939.arriba,SRR6939943.arriba,SRR6939956.arriba",tumor_exclusive,-0.541341019,0.192307176,0.290191277,0.46438656,-0.678795527,0.099460157,0.593735694,0.115254702,translation
ATAT1,4,9,4,0,8,1,0,0,9,0,0,9,0,"3'UTR,CDS/splice-site,intron","deletion/read-through/5'-5',inversion,translocation",0,0,0,"SRR6939943.arriba,SRR6939947.arriba,SRR6939951.arriba,SRR6939956.arriba",tumor_exclusive,1.151670057,0.178280514,0.307784128,0.429894288,0.712319067,0.337766069,-0.020622486,0.961134021,background
SNRPD3,4,9,4,0,1,8,0,0,9,0,0,9,0,"3'UTR,intron","deletion/read-through,deletion/read-through/5'-5',translocation,translocation/5'-5'",0,0,0,"SRR6939935.arriba,SRR6939939.arriba,SRR6939956.arriba,SRR6939960.arriba",tumor_exclusive,0.490675259,0.075262643,0.667446718,0.024542037,0.23253513,0.387903541,0.220722474,0.427401022,abundance
TMX1,4,9,4,0,9,0,0,0,9,0,0,9,2,"CDS,intergenic,intron","deletion/read-through,deletion/read-through/5'-5',translocation,translocation/5'-5'",0,0,5,"SRR6939931.arriba,SRR6939939.arriba,SRR6939947.arriba,SRR6939951.arriba",tumor_exclusive,-0.071309799,0.847582471,0.677045835,0.029682781,-0.507519997,0.132850844,0.718926987,0.015289754,background
AMOTL2,4,8,4,0,2,6,0,0,8,0,0,8,0,"CDS,intron","deletion/read-through,deletion/read-through/3'-3'",1,0,0.5,"SRR6939927.arriba,SRR6939935.arriba,SRR6939943.arriba,SRR6939951.arriba",tumor_exclusive,-1.069675295,0.056510708,-1.291484448,0.022558456,-0.072005294,0.87962727,-0.299815346,0.379993204,abundance
ARGLU1,4,7,4,0,4,3,0,0,7,0,0,7,0,"3'UTR,CDS,intron","deletion/read-through,deletion/read-through/3'-3',translocation",0,0,0,"SRR6939943.arriba,SRR6939951.arriba,SRR6939956.arriba,SRR6939964.arriba",tumor_exclusive,-0.156853762,0.745748742,-0.333144814,0.413893547,0.082791169,0.846378196,-0.215398247,0.495067817,background
NRIP1,4,7,4,0,0,7,0,0,7,0,0,7,0,intron,deletion/read-through,1,0,0,"SRR6939935.arriba,SRR6939939.arriba,SRR6939943.arriba,SRR6939956.arriba",tumor_exclusive,0.017162381,0.965310877,0.764506266,0.037414413,-0.451138058,0.140834962,0.747790534,0.015334221,background
CCNT2,4,6,4,0,4,2,0,0,6,0,0,6,2,"5'UTR,intergenic,intron","deletion,deletion/3'-3',deletion/read-through,deletion/read-through/5'-5',translocation",0,0,1,"SRR6939927.arriba,SRR6939943.arriba,SRR6939947.arriba,SRR6939960.arriba",tumor_exclusive,-0.198225273,0.649593639,0.32938406,0.253182309,-0.323510734,0.473107404,0.363105849,0.200444103,buffering
DCP1A,4,6,4,0,0,6,0,0,6,0,0,6,0,intron,"deletion/read-through,deletion/read-through/5'-5'",1,0,0,"SRR6939927.arriba,SRR6939943.arriba,SRR6939951.arriba,SRR6939964.arriba",tumor_exclusive,0.137548421,0.753303566,-0.062666026,0.849508657,0.151592306,0.748235162,-0.079140918,0.807279924,background
MAP3K14,4,6,4,0,1,5,0,0,6,0,0,6,0,intron,"deletion/read-through,deletion/read-through/5'-5',translocation",0,0,0,"SRR6939931.arriba,SRR6939939.arriba,SRR6939951.arriba,SRR6939956.arriba",tumor_exclusive,-0.191375533,0.854018857,-1.002529109,0.04577197,1.279799729,0.092893465,-0.922512989,0.017525219,buffering
PLEK,4,6,4,0,3,3,0,0,6,0,0,6,2,"intergenic,intron","deletion/read-through,translocation",0,0,0,"SRR6939927.arriba,SRR6939939.arriba,SRR6939943.arriba,SRR6939951.arriba",tumor_exclusive,-0.814516873,0.081620049,-0.873021388,0.01467276,-0.192432126,0.73740317,-0.58813237,0.072872179,abundance
ACSM5,4,5,4,0,4,1,0,0,5,0,0,5,0,"exon,intron",deletion/read-through,1,0,1,"SRR6939927.arriba,SRR6939931.arriba,SRR6939935.arriba,SRR6939947.arriba",tumor_exclusive,-2.676094835,0.007981569,-2.740468739,0.012056113,-0.851635944,0.202208498,0.046264269,0.958148566,abundance
CCSER2,4,5,4,0,3,2,0,0,5,0,0,5,0,intron,"deletion/read-through,translocation",0,0,0,"SRR6939927.arriba,SRR6939943.arriba,SRR6939956.arriba,SRR6939960.arriba",tumor_exclusive,-0.726607707,0.119405926,0.231496128,0.447923992,-0.897965919,0.067619101,0.440614657,0.142502737,translation
